bssid,ssid,type,lat,lon,last_seen,sqlite_filename
94:BF:C4:1E:9E:B8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:9F:1C,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:A0:48,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:A6:D8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:AA:48,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:AA:A8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:AC:18,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:AD:98,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:AD:A8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:98:7C,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:9E:7C,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:9E:B8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:9F:1C,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:AA:A8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:AB:48,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:AC:18,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:AD:98,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:5E:AD:A8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:9E:98:7C,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:9E:9D:DC,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:9E:9E:B8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:9E:AA:E8,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:9E:AB:48,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:9E:AD:98,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:21:6B:64,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:28:6B:63,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:28:6B:65,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:28:88:F9,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:2A:39:98,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:2A:39:9B,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:2D:62:39,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:30:D3:45,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:30:D3:47,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:34:62:3A,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:8D:A6:2E,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:94:A6:28,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:94:A6:2A,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:94:A6:2C,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:94:A6:2D,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:94:A6:2E,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:94:A6:2F,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:9C:EB:D7,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:9E:D5:D0,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:9E:D5:D6,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:A4:6A:A2,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:A4:6A:A4,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:F2:CE:8E,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:F4:F4:49,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:F4:F4:4E,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:F5:64:5D,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:F5:89:D1,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:FB:F4:07,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:FC:32:8F,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:FC:64:59,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:FC:64:5F,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:FC:7D:BA,,W,0,0,,backup-1762704831407.sqlite
96:04:E3:FC:89:D3,,W,0,0,,backup-1762704831407.sqlite
96:09:C9:C7:2E:50,,W,0,0,,backup-1762704831407.sqlite
96:09:C9:C7:3B:1F,,W,0,0,,backup-1762704831407.sqlite
96:09:C9:DE:4B:7C,,W,0,0,,backup-1762704831407.sqlite
96:09:C9:E0:3A:70,,W,0,0,,backup-1762704831407.sqlite
96:09:C9:E0:6F:7C,,W,0,0,,backup-1762704831407.sqlite
96:0F:6F:0A:40:08,,W,0,0,,backup-1762704831407.sqlite
96:46:07:69:95:1E,,W,0,0,,backup-1762704831407.sqlite
96:53:30:70:4E:1F,,W,0,0,,backup-1762704831407.sqlite
96:5D:C8:01:43:AD,,W,0,0,,backup-1762704831407.sqlite
96:73:C2:5B:3D:4E,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:25:3C:25,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:32:9A:65,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:4F:E1:90,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:51:86:24,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:A2:71:7D,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:AB:83:64,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:C7:15:36,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:CA:85:0A,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:CA:85:0B,,W,0,0,,backup-1762704831407.sqlite
96:76:3F:F5:04:10,,W,0,0,,backup-1762704831407.sqlite
96:78:5A:BB:E1:20,,W,0,0,,backup-1762704831407.sqlite
96:81:81:03:4D:31,,W,0,0,,backup-1762704831407.sqlite
96:91:BF:45:CB:B5,,W,0,0,,backup-1762704831407.sqlite
96:93:54:75:CC:A5,,W,0,0,,backup-1762704831407.sqlite
96:95:61:9D:E6:45,,W,0,0,,backup-1762704831407.sqlite
96:9E:EA:B3:E9:A5,,W,0,0,,backup-1762704831407.sqlite
96:AD:43:5C:09:08,,W,0,0,,backup-1762704831407.sqlite
96:AD:43:5C:09:10,,W,0,0,,backup-1762704831407.sqlite
96:AD:43:5E:8D:D0,,W,0,0,,backup-1762704831407.sqlite
96:AD:43:60:BA:20,,W,0,0,,backup-1762704831407.sqlite
96:AD:43:7D:5C:B8,,W,0,0,,backup-1762704831407.sqlite
96:AD:43:93:F8:78,,W,0,0,,backup-1762704831407.sqlite
96:AD:43:A8:9D:A8,,W,0,0,,backup-1762704831407.sqlite
96:FC:27:65:6C:E2,,W,0,0,,backup-1762704831407.sqlite
98:03:CF:17:A9:6C,,W,0,0,,backup-1762704831407.sqlite
98:03:CF:2E:71:90,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:8E:B6:B3,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:8E:B6:B6,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:4F,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:52,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:54,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:55,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:57,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:59,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:5A,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:5B,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:5C,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:93:B8:5D,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:83,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:86,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:88,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:89,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:8B,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:8D,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:8E,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:8F,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:90,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:98:3E:91,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:B6:FD:9B,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:B6:FD:A3,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:B6:FD:A5,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:B6:FD:A7,,W,0,0,,backup-1762704831407.sqlite
98:52:4A:B6:FD:A9,,W,0,0,,backup-1762704831407.sqlite
98:5D:46:2A:3C:AB,,W,0,0,,backup-1762704831407.sqlite
98:9D:5D:C2:F5:C4,,W,0,0,,backup-1762704831407.sqlite
98:C8:54:A5:DB:BA,,W,0,0,,backup-1762704831407.sqlite
