_id,run_id,wifi_visible,cell_visible,bt_visible,lat,lon,altitude,accuracy,time
26448,166,5,1,1,43.0234210109686,-83.6968200256156,195.676635742188,5.18110752105713,1759800790000
26449,166,8,4,1,43.0233844013819,-83.696821585175,197.526977539063,10.5987215042114,1759800828000
26450,166,8,4,0,43.0234223777352,-83.6968080516454,197.503662109375,10.8798151016235,1759800842000
26451,166,4,7,0,43.0234542615517,-83.6968318612446,192.913513183594,12.0236434936523,1759800885000
26452,166,12,7,0,43.0235005455198,-83.6968170386861,195.243225097656,11.671049118042,1759800889000
26453,166,7,7,0,43.0235399625034,-83.6968161861169,196.260192871094,11.803279876709,1759800895000
26454,166,10,8,2,43.0235202144726,-83.6967709631112,200.0498046875,10.1279239654541,1759800907000
26455,166,11,9,1,43.0234827214643,-83.6967584348558,194.779724121094,10.4448776245117,1759800935000
26456,166,5,9,1,43.0234503581746,-83.6967736953645,195.362182617188,10.4705486297607,1759800942000
26457,166,5,9,1,43.0234503581746,-83.6967736953645,195.362182617188,10.4705486297607,1759800942000
26458,166,10,7,1,43.0234275927548,-83.6968111673063,194.566101074219,10.1692047119141,1759800966000
26459,166,8,2,0,43.023459153972,-83.6968326754478,184.54833984375,10.0033283233643,1759801057000
26460,166,16,1,2,43.0234244206918,-83.6968336884906,196.757263183594,3.79009246826172,1759801074000
26461,166,8,6,2,43.0234611357415,-83.6968301147835,195.025390625,3.79009246826172,1759801111000
26462,166,7,1,2,43.023496397191,-83.6968475021139,194.509521484375,3.79009246826172,1759801117000
26463,166,8,4,2,43.0235285570964,-83.6968314469968,194.0693359375,3.79009246826172,1759801122000
26464,166,8,3,2,43.0235614850996,-83.696799259287,193.372924804688,3.79009246826172,1759801129000
26465,166,7,3,2,43.0235444752168,-83.6967581242999,188.804870605469,3.82387161254883,1759801144000
26466,166,7,3,2,43.0235444752168,-83.6967581242999,188.804870605469,3.82387161254883,1759801144000
26467,166,7,4,1,43.0235705279363,-83.696727497594,186.01416015625,4.866774559021,1759801149000
26468,166,14,4,1,43.0236149272166,-83.6967457245879,188.237182617187,4.79033708572388,1759801155000
26469,166,7,4,1,43.0235810128097,-83.696725821478,186.888305664062,11.0987377166748,1759801167000
26470,166,9,4,1,43.023556822033,-83.6966926760197,186.637573242187,10.565990447998,1759801181000
26471,166,10,5,1,43.0235167603154,-83.6967071591957,192.510498046875,10.6259346008301,1759801203000
26472,166,8,5,1,43.023484551773,-83.69673087354,195.16259765625,10.8036766052246,1759801207000
26473,166,7,5,1,43.0235169153372,-83.696759953372,189.830322265625,11.5603494644165,1759801218000
26474,166,8,5,1,43.0235545769326,-83.6967807531889,191.231262207031,11.6620855331421,1759801223000
26475,166,8,5,1,43.0235545769326,-83.6967807531889,191.231262207031,11.6620855331421,1759801223000
26476,166,9,5,1,43.0235356166854,-83.6968203064243,191.608215332031,10.3898830413818,1759801228000
26477,166,9,5,1,43.0235356166854,-83.6968203064243,191.608215332031,10.3898830413818,1759801228000
26478,166,11,5,1,43.0235088872688,-83.6967820466556,193.609313964844,9.93504619598389,1759801240000
26479,166,9,5,1,43.0234647177533,-83.6967896660532,191.64892578125,9.93504619598389,1759801244000
26480,166,10,5,1,43.0234299113491,-83.6968005429625,193.590698242187,3.79009246826172,1759801251000
26481,166,5,6,1,43.0234078942698,-83.6968415450948,192.523132324219,3.79009246826172,1759801273000
26482,166,5,6,1,43.0234078942698,-83.6968415450948,192.523132324219,3.79009246826172,1759801273000
26483,166,11,5,2,43.0234381079391,-83.6968178478557,194.566528320312,3.79009246826172,1759801343000
26484,166,8,5,2,43.0234582954252,-83.6967764270855,194.575439453125,3.79009246826172,1759801358000
26485,166,7,5,2,43.0234876871218,-83.6968103718208,196.521240234375,3.79009246826172,1759801362000
26486,166,8,5,1,43.0235105484327,-83.6968536515321,194.6220703125,3.79009246826172,1759801366000
26487,166,8,5,1,43.023520611729,-83.6968081680392,194.973999023437,4.93507528305054,1759801379000
26488,166,14,5,1,43.0234789417665,-83.6968110256395,192.653198242188,3.96080660820007,1759801389000
26489,166,14,5,1,43.0234789417665,-83.6968110256395,192.653198242188,3.96080660820007,1759801389000
26490,166,10,5,1,43.0235081275711,-83.6968375286606,192.79052734375,3.79009246826172,1759801396000
26491,166,8,5,2,43.0235279787675,-83.6967983875009,194.833129882813,9.93504619598389,1759801402000
26492,166,12,5,2,43.0234848149497,-83.696786555276,196.830627441406,9.93504619598389,1759801406000
26493,166,13,5,2,43.0234423089278,-83.6968167958527,198.691711425781,9.93504619598389,1759801410000
26494,166,11,8,0,43.0234686695878,-83.6967851033788,198.004333496094,3.79009246826172,1759801503000
26495,166,10,6,1,43.0234311459435,-83.6967968951057,200.066589355469,3.79009246826172,1759801517000
26496,166,13,2,1,43.0234385343485,-83.6968439851968,199.5478515625,3.79009246826172,1759801577000
26497,166,8,1,1,43.023470706808,-83.6968148973648,198.501403808594,3.79009246826172,1759801679000
26498,166,10,5,3,43.0234779933445,-83.6967675554954,198.523376464844,9.93504619598389,1759801709000
26499,166,12,5,3,43.023506863995,-83.6967943872846,196.55078125,9.93504619598389,1759801733000
26500,166,8,2,2,43.0234697380493,-83.6967997927642,198.503479003906,9.93504619598389,1759801836000
26501,166,14,2,2,43.0234334742645,-83.6968054310342,196.964477539063,9.93504619598389,1759801847000
26502,166,8,6,0,43.0234537330612,-83.6968463061577,198.854553222656,3.79009246826172,1759801907000
26503,166,13,3,0,43.0234152566553,-83.6968439589476,198.659057617188,3.79009246826172,1759801940000
26504,166,9,3,2,43.0234470509202,-83.6968134091188,198.334167480469,3.79009246826172,1759801951000
26505,166,9,3,2,43.0234929079486,-83.696822243231,198.93701171875,3.79009246826172,1759801955000
26506,166,8,4,2,43.023528905831,-83.6968195834673,199.415893554688,3.79009246826172,1759801964000
26507,166,7,3,3,43.0234893576065,-83.6968136389936,198.591735839844,9.93504619598389,1759801997000
26508,166,7,3,3,43.0234499551431,-83.6968208120684,197.641723632812,9.93504619598389,1759802001000
26509,166,21,4,1,43.0234153393336,-83.6968159704969,200.716735839844,9.93504619598389,1759802010000
26510,166,13,4,1,43.0234127486192,-83.6968625681888,199.101196289063,3.79009246826172,1759802068000
26511,166,9,5,0,43.0234441308475,-83.6968359618256,196.223205566406,3.79009246826172,1759802105000
26512,166,13,6,1,43.0234207337324,-83.6968006609885,196.936584472656,3.79009246826172,1759803359000
26513,166,15,6,1,43.0234158967769,-83.6968480470611,197.576354980469,3.79009246826172,1759803366000
26514,166,9,4,0,43.0234513904839,-83.6968549686915,197.838928222656,3.79009246826172,1759806245000
26515,166,9,4,0,43.0234513904839,-83.6968549686915,197.838928222656,3.79009246826172,1759806245000
26516,167,9,4,0,43.02342473,-83.69684197,200.500732421875,6.54939413070679,1759806257582
26517,167,11,4,4,43.023455255712,-83.6968633411087,200.22412109375,3.79009246826172,1759807436000
26518,167,7,5,3,43.0234899188605,-83.6968509791308,200.194641113281,3.79009246826172,1759809050000
26519,167,8,5,2,43.0235245534294,-83.6968495872454,200.082397460937,3.82430934906006,1759809056000
26520,167,13,9,2,43.0235119659054,-83.696800417102,196.097290039063,3.79009246826172,1759809086000
26521,167,12,9,1,43.0235365933577,-83.6968434789359,196.564575195313,11.7635688781738,1759809138000
26522,167,10,9,1,43.0235006317225,-83.6968279180317,198.0751953125,10.2717199325562,1759809145000
26523,167,12,8,2,43.0234724274744,-83.6967911969562,197.22314453125,9.93504619598389,1759809201000
26524,167,16,8,1,43.0234449348267,-83.6967622826604,197.976440429688,9.93504619598389,1759809209000
26525,167,12,6,1,43.02341687133,-83.6967341005817,203.832153320312,9.93504619598389,1759809884000
26526,167,11,6,1,43.0234365284922,-83.6967754737385,199.578125,9.93504619598389,1759809935000
26527,167,12,6,2,43.0234577361114,-83.6968126035525,199.637023925781,10.4757061004639,1759809940000
26528,167,12,6,0,43.0234375025773,-83.6967750110348,196.9716796875,9.93504619598389,1759810118000
26529,167,13,8,0,43.0234119296031,-83.6967440349749,199.454772949219,9.93504619598389,1759811694000
26530,167,13,8,2,43.0234321193489,-83.696783495405,197.80078125,10.3259611129761,1759813667000
26531,167,9,9,1,43.023450422956,-83.6968233857666,198.204162597656,9.93504619598389,1759813709000
26532,167,10,6,1,43.0234716680896,-83.6968635698239,196.580688476562,10.9408597946167,1759813869000
26533,167,10,6,1,43.0234998979907,-83.6968262645348,190.517639160156,10.6901655197144,1759813877000
26534,167,10,6,1,43.0235071188933,-83.6967797580677,193.026123046875,10.2697410583496,1759813884000
26535,167,10,6,1,43.0234727378849,-83.6967970420632,196.966064453125,10.1198902130127,1759813904000
26536,167,10,9,1,43.0235074915118,-83.6968037131316,199.278442382812,10.8577013015747,1759813974000
26537,167,10,9,1,43.0235482090552,-83.6967919202535,199.406127929687,10.5640354156494,1759813978000
26538,167,10,7,1,43.0235130757939,-83.6968164879285,201.026611328125,10.942232131958,1759814063000
26539,167,10,6,1,43.0234776276844,-83.6968066533161,202.191162109375,9.93504619598389,1759814133000
26540,167,10,6,2,43.0234491316316,-83.6967721024824,200.3916015625,9.93504619598389,1759814170000
26541,167,10,9,3,43.0234603879972,-83.6968164931831,197.720581054687,10.4080657958984,1759814301000
26542,167,10,8,1,43.0234672596412,-83.6968625161174,198.150756835938,10.3976049423218,1759814348000
26543,167,10,8,2,43.0234908255802,-83.6968246420954,196.125915527344,10.7640886306763,1759814361000
26544,167,10,9,1,43.0234500234707,-83.6968236896898,191.246520996094,11.1637296676636,1759814418000
26545,167,10,7,1,43.0234162955236,-83.6968320951832,190.690124511719,10.518895149231,1759814452000
26546,167,10,8,1,43.023427572338,-83.6968769736359,196.237060546875,9.93504619598389,1759814461000
26547,167,10,7,1,43.0234172569752,-83.6968303974219,195.691833496094,9.93504619598389,1759814468000
26548,167,10,7,1,43.02344630494,-83.69679540921,196.393920898437,9.93504619598389,1759814476000
26549,167,8,8,1,43.0234259745227,-83.6968344441068,201.198486328125,3.79009246826172,1759814506000
26550,167,10,2,0,43.023466861394,-83.6968622497643,200.730163574219,3.79009246826172,1759814531000
26551,167,11,1,0,43.0235040685467,-83.6968967989256,201.549194335937,4.03562259674072,1759814535000
26552,167,11,1,0,43.0235040685467,-83.6968967989256,201.549194335937,4.03562259674072,1759814535000
26553,167,6,2,0,43.0235437847508,-83.6968894851501,203.086669921875,3.79009246826172,1759814539000
26554,167,7,2,2,43.0235303939241,-83.6968430038537,201.388488769531,3.79009246826172,1759814543000
26555,167,11,1,3,43.0234936168052,-83.6968192668724,200.490478515625,3.79009246826172,1759814548000
26556,167,10,6,1,43.023459799386,-83.6968350011682,202.895751953125,3.79009246826172,1759814558000
26557,167,4,5,0,43.0234891301169,-83.6968005368639,199.359130859375,3.79009246826172,1759814640000
26558,167,10,5,0,43.0235271383651,-83.6968156757596,201.420776367187,3.79009246826172,1759814646000
26559,167,10,5,0,43.0235271383651,-83.6968156757596,201.420776367187,3.79009246826172,1759814646000
26560,167,10,4,0,43.0234975052316,-83.6967856076472,197.6484375,3.79009246826172,1759814659000
26561,167,17,7,0,43.0234883016898,-83.6968364584696,197.063415527344,3.79009246826172,1759814672000
26562,167,8,7,0,43.023466922236,-83.6968764669258,197.500610351562,3.79009246826172,1759814676000
26563,167,9,9,0,43.0234306226636,-83.6968847435623,198.096374511719,3.79009246826172,1759814681000
26564,167,8,8,0,43.0234592014904,-83.6968420258774,198.294677734375,3.79009246826172,1759814695000
26565,167,11,7,1,43.0234986708319,-83.6968380312288,198.545166015625,8.72226810455322,1759814734000
26566,167,9,7,1,43.0235271170175,-83.6968074404831,198.252075195312,5.87305116653442,1759814743000
26567,167,9,7,1,43.0234985695082,-83.6968359829132,197.072021484375,5.44967412948608,1759814752000
26568,167,15,8,1,43.0234861188026,-83.6967897370831,190.106262207031,10.2272481918335,1759814787000
26569,167,12,8,1,43.0234538070861,-83.6967636987952,189.936218261719,10.4339818954468,1759814791000
26570,167,8,8,1,43.0234202576191,-83.6967929132037,192.668395996094,10.4939813613892,1759814859000
26571,167,13,8,0,43.0234592922053,-83.6968092531819,189.39111328125,10.2429780960083,1759814868000
26572,167,8,7,0,43.0235190449644,-83.6968067706717,192.185791015625,10.7273502349854,1759814872000
26573,167,6,7,0,43.0235529301142,-83.696815298344,192.533264160156,10.646035194397,1759814878000
26574,167,10,6,1,43.0235185118215,-83.6968172356151,190.118896484375,10.2309408187866,1759814934000
26575,167,11,6,2,43.0234868827896,-83.6967862343914,191.502746582031,10.0108575820923,1759815006000
26576,167,13,7,2,43.0234606042169,-83.6967533001105,194.053100585938,9.93504619598389,1759815013000
26577,167,13,7,2,43.0234606042169,-83.6967533001105,194.053100585938,9.93504619598389,1759815013000
26578,167,13,2,1,43.0234815865426,-83.6968022115563,201.923950195312,9.93504619598389,1759815718000
26579,167,11,1,3,43.0235094620922,-83.6968303623976,201.244262695312,9.93504619598389,1759815760000
26580,167,11,1,3,43.0235094620922,-83.6968303623976,201.244262695312,9.93504619598389,1759815760000
26581,167,7,5,1,43.0234767276007,-83.6968602501332,200.361572265625,3.79009246826172,1759815963000
26582,167,9,6,1,43.0234515518244,-83.6968272472529,200.315063476562,3.79009246826172,1759816018000
26583,167,8,4,0,43.0234840801951,-83.6968115451716,200.818237304687,3.79009246826172,1759816157000
26584,167,7,3,2,43.0235144931921,-83.6968351287609,199.357727050781,3.79009246826172,1759816169000
26585,167,12,5,0,43.0234810419159,-83.696846620591,197.764892578125,9.93504619598389,1759816240000
26586,167,9,4,3,43.0234638208554,-83.6968049291517,200.194458007812,3.79009246826172,1759816273000
26587,167,26,5,1,43.0234467811804,-83.6968458394208,198.667236328125,3.79009246826172,1759816296000
26588,168,0,0,0,43.02348984,-83.69680054,199.018371582031,9.06619548797607,1759869346001
26589,168,7,4,0,43.0234512977449,-83.6968483668314,207.271667480469,4.28260564804077,1759869350001
26590,168,7,4,0,43.0234512977449,-83.6968483668314,207.271667480469,4.28260564804077,1759869350001
26591,168,7,4,0,43.0234273005238,-83.6968852455523,208.982788085937,3.79009246826172,1759869354000
26592,168,7,7,1,43.0234520094933,-83.6968511218235,203.031616210937,3.79009246826172,1759869458000
26593,168,11,7,4,43.0234864509198,-83.696859775455,196.759948730469,3.86579871177673,1759872119000
26594,168,3,7,1,43.0235252358502,-83.6968484176597,194.9140625,4.0404257774353,1759872142000
26595,168,10,7,2,43.023560049496,-83.6968295862259,193.938903808594,4.07678031921387,1759872146000
26596,168,6,7,2,43.0235727817813,-83.6967778097246,191.662475585938,8.65737819671631,1759872157000
26597,168,7,7,1,43.0235161469095,-83.6967478664736,192.374145507813,5.4062352180481,1759872161000
26598,168,7,7,1,43.0235161469095,-83.6967478664736,192.374145507813,5.4062352180481,1759872161000
26599,168,11,6,1,43.0234821933221,-83.696754953277,192.68505859375,9.93504619598389,1759872189000
26600,168,11,6,1,43.0234301539864,-83.6967435637448,194.382141113281,9.93504619598389,1759872193000
26601,168,6,6,2,43.0234660458584,-83.6967472737354,195.131225585938,10.1612243652344,1759872229000
26602,168,9,1,1,43.0234949717519,-83.6967756367875,195.513793945313,10.5453805923462,1759872242000
26603,168,8,2,2,43.0235367886778,-83.6967676065195,192.336120605469,10.3787622451782,1759872247000
26604,168,8,2,1,43.023570672704,-83.6967424172878,192.082946777344,11.5150556564331,1759872252000
26605,168,10,4,2,43.0236074196268,-83.6967620422782,191.776184082031,11.0788612365723,1759872259000
26606,168,8,4,1,43.0235578547483,-83.696773451148,188.671752929688,10.6357011795044,1759872265000
26607,168,6,1,1,43.0235125431883,-83.6968041790871,190.329833984375,10.9163427352905,1759872269000
26608,168,9,2,3,43.0234757917084,-83.6967891115971,191.526489257812,10.0818586349487,1759872294000
26609,168,12,2,5,43.023458474759,-83.696746871917,194.464599609375,10.0907325744629,1759872300000
26610,168,8,4,2,43.0234554806122,-83.6967002985216,196.960205078125,10.0179281234741,1759872310000
26611,168,13,4,2,43.0234234443562,-83.6967186471718,197.89794921875,9.93504619598389,1759872316000
26612,168,9,4,1,43.0234565384022,-83.6966897346759,199.280822753906,10.5251941680908,1759872373000
26613,168,6,3,2,43.0234189377843,-83.6966960534796,200.340087890625,9.93504619598389,1759872397000
26614,168,11,3,2,43.0234439876471,-83.6967309970714,197.929321289063,9.93504619598389,1759872427000
26615,168,11,3,2,43.0234439876471,-83.6967309970714,197.929321289063,9.93504619598389,1759872427000
26616,168,10,5,2,43.0234625587578,-83.6966908017027,198.44091796875,9.93504619598389,1759872454000
26617,168,11,3,2,43.0234824875629,-83.6967383723058,197.059692382812,9.93504619598389,1759872459000
26618,168,11,3,2,43.0235004886917,-83.6967890172519,196.375366210938,9.94865226745605,1759872463000
26619,168,7,6,3,43.0234938939211,-83.6968416075963,195.985900878906,10.3587942123413,1759872469000
26620,168,6,6,2,43.0234655003553,-83.6968936398235,195.604431152344,3.79009246826172,1759872473000
